id,life_stage,theme,summary,quote,emotion,values,sociological_note,type,institution,housing_promised,market_participation,collapse_context,digital_literacy
4,"Настоящее, зрелый возраст",Работа и отношение к ней,"Респондентка подрабатывает, работа неофициальная, без прямого контакта с заказчиками. Работа воспринимается как способ обеспечить себя, не как источник интереса или самореализации. После напряжённой работы позволяет себе отдыхать и игнорировать дела.","У меня всегда удовлетворение после сделанного. После сделанного тоже удовлетворение. Но большой минус, считаю я, для себя в этом, я потом старательно отдыхаю.","Удовлетворение, лёгкая усталость","Самостоятельность, ответственность, баланс между трудом и отдыхом","Для пожилых людей подработка часто становится способом поддерживать финансовую независимость, но не всегда приносит удовлетворение как деятельность.",эпизод,,,"неофициальная занятость, фриланс",True,
5,"Настоящее, зрелый возраст",Отношение к хобби и досугу,"У респондентки нет чётко выраженных хобби, она много читает, но не считает это увлечением. Ранее занималась вязанием, сейчас не может за это взяться.","У меня нет хобби, у меня нет увлечений. Я много читаю. Я люблю читать, не считаю это увлечением.","Спокойствие, лёгкая апатия","Самодостаточность, отсутствие давления на себя","С возрастом интерес к новым хобби может снижаться, а привычные занятия теряют эмоциональную окраску.",декларация,,,,True,
6,"Настоящее, зрелый возраст",Культурные практики и ограничения,Посещение театров и концертов стало реже из-за финансовых и физических ограничений. Планирование досуга осложняется непредсказуемостью самочувствия.,"Во-первых, это не всегда доступно по деньгам... Эту дату я лежу пластом, потому что у меня ломит ноги, у меня болит голова.","Сожаление, принятие","Культурное развитие, адаптация к обстоятельствам","Снижение доступности культурных практик связано как с экономическими, так и с возрастными физиологическими факторами.",эпизод,,,,True,
7,"Настоящее, зрелый возраст",Экологические привычки и отношение к природе,"Респондентка старается соблюдать экологические привычки: не мусорит, бережно относится к природе, сортирует отходы. Вопросы экологии не занимают центрального места, но присутствуют в быту.","Я стараюсь не нарушать препятствия. Поехать в лес и накрасить какой-то цветок. Понятно, да?","Спокойствие, лёгкая гордость","Ответственность, бережное отношение к природе","Экологические практики становятся частью повседневности даже у старшего поколения, хотя не всегда осмысляются как важная ценность.",декларация,,,,True,
8,"Настоящее, зрелый возраст",Семейные традиции и праздники,"Праздники отмечаются по советским традициям, но с годами круг общения сузился, праздничные застолья стали редкостью. Основное — уборка, приготовление еды, символические действия.","Праздники, традиции праздничные, все оставшиеся с советских времен. 8 марта, 23 февраля, нерождение.","Ностальгия, лёгкая грусть","Традиции, семейность, память о прошлом","С возрастом праздники теряют массовость, становятся более символичными, что связано с сокращением круга близких и изменением форматов общения.",декларация,,,,True,
9,"Настоящее, зрелый возраст",Отпуск и организация отдыха,"Отдых воспринимается как отсутствие обязательств. Поездки на море или в другие города организует муж, респондентка обеспечивает быт. С возрастом отдых становится менее частым, но сохраняет важность.","Для меня, знаете, отсутствие обязательств. Я делала, что я хочу, не делала, чего не хочу, когда хочется.","Желание свободы, лёгкая усталость","Свобода, отдых, семейное взаимодействие","Организация отдыха в зрелом возрасте часто делегируется более активному члену семьи, а сам отпуск становится способом временно выйти из рутины.",эпизод,,False,,True,
10,"Настоящее, зрелый возраст",Самооценка и отношение к собственному распорядку дня,"Респондентка испытывает неудовлетворённость из-за невозможности организовать день так, как хотелось бы: не удаётся равномерно чередовать работу и отдых, присутствует ощущение внутреннего парадокса между желанием свободы и потребностью в структуре.","Мне бы очень хотелось бы представить себя как-то, может, не заставить, может, как-то убедить. То есть равномерно поработал, сделал что-то, поработал, сделал что-то. У меня так не получается, поэтому я недовольна собой.","Неудовлетворённость, рефлексия","Саморазвитие, стремление к гармонии","В зрелом возрасте внутренний конфликт между свободой и необходимостью структуры становится особенно заметен, особенно при отсутствии внешних требований.",узел,,,,True,
11,"Настоящее, зрелый возраст",Дружба и социальные связи,"Старые друзья ушли, остались приятельские отношения и новые знакомства. Для респондентки важны комфортность общения и надёжность, конфликты с друзьями обычно разрешались сами собой.","К сожалению от старых друзей уже ничего не осталось, они ушли. То есть я Приятельства те остались, мы периодически нечистые. Мы встречаемся, общаемся с большими людьми.","Грусть, принятие","Доверие, надёжность, комфорт в общении","С возрастом круг близких сужается, но сохраняется потребность в доверительных и комфортных отношениях, а новые связи строятся на общности культурного кода.",декларация,,,,True,
1,"Зрелый возраст, семейная жизнь",Отношения с близкими и поддержка,"Респондентка рассказывает о том, что в случае трудностей обращается к мужу, а также к другим членам семьи по специфическим вопросам. При этом отмечает, что чувствует недооцененность со стороны окружения и неудовлетворенность сложившимися отношениями с близкими.","Все недооценивают, все недооценивают. Я, наверное, неправильно сложила отношения, сформировала отношения со своими близкими. Вот это да! А это что такое? Мне бы хотелось других отношений, но понятно, что я не стилист. Мне бы хотелось больше внимания, проявления внимания.","Сожаление, неудовлетворенность, легкая обида","Внимание, поддержка, признание, семейные связи",Респондентка демонстрирует типичную для зрелого возраста рефлексию по поводу качества семейных отношений и поддержки. Чувство недооцененности может быть связано с изменением ролей в семье и снижением социальной активности.,декларация,семья,,,,
2,Зрелый возраст,Отношение к здоровью и забота о себе,"Респондентка воспринимает тему здоровья как сложную, сожалеет об упущенных возможностях, но не придает этому вопросу большого значения. Принимает назначенные врачом препараты, иногда делает гимнастику, но не считает заботу о здоровье приоритетом.","Для меня это скорее сожаление, а в упущенных возможностях и не сделанном. И не более того, это что у меня создало... Насколько хуже нет в моем возрасте, то, что... Спасибо, Катюшка. У меня то, что доктор назначает, пьет.","Сожаление, апатия","Здоровье как данность, принятие ограничений возраста","Отношение к здоровью носит пассивный характер, что типично для части пожилых людей, которые не видят смысла в активной заботе о себе после определенного возраста.",декларация,медицина,,,,
3,Зрелый возраст,Питание и бытовые привычки,"Респондентка безразлична к еде, но придает большое значение эстетике подачи пищи. Признает наличие вредных привычек (например, переедание на ночь) и хотела бы изменить образ жизни в сторону большей разумности и структурированности.","Мне нужно, чтобы были салфетки, мне нужно, чтобы картошка была красивым веером, мне нужно, чтобы салатик был разложен, как должно. Вот этому я... Чтобы колбаска ливерная была порезана ровным колечком.","Легкая ирония, самокритика","Эстетика, порядок, самодисциплина","Важность эстетики в быту может быть способом поддержания чувства контроля и красоты в повседневности, особенно при снижении других жизненных активностей.",эпизод,,,,,
4,Зрелый возраст,Физическая активность и режим дня,"Респондентка признает недостаток физической активности и желание изменить режим дня: вставать рано, гулять перед сном, структурировать рабочее время. Однако реализовать это удается не всегда.","Мне бы очень хотелось бы вставать рано. Я периодически это делаю, но не переживайте. Мне бы хотелось выгнать график работы и денег. Мне бы хотелось непременно выходить, прогуляться вечером перед сном.","Желание перемен, легкая неудовлетворенность","Здоровый образ жизни, самодисциплина, порядок","Желание структурировать день и увеличить физическую активность отражает стремление к контролю над жизнью и заботе о себе, несмотря на возрастные ограничения.",декларация,,,,,
5,Зрелый возраст,Психологическое состояние и саморефлексия,"Респондентка отмечает склонность к самокопанию, жалости к себе и признает, что это негативно влияет на ее здоровье. При этом она занимается саморазвитием (например, английским языком), хотя и не видит в этом практической пользы.","Паническое настроение. Я очень люблю себе копаться, себя жалеть. В итоге я делаю много для себя. Ничем это выражается.","Тревожность, самокритика","Саморазвитие, рефлексия, эмоциональное здоровье","Психологические трудности и самокритика часто сопровождают людей в зрелом возрасте, особенно при снижении социальной вовлеченности и изменении привычного круга общения.",декларация,,,,,
6,Зрелый возраст,Медицинские практики и отношение к медицине,"Респондентка принимает лекарства от хронических заболеваний, отмечает ухудшение памяти. К официальной медицине относится в целом положительно, но критикует современную систему за формализм и недостаток индивидуального подхода. Высоко ценит специалистов, независимо от типа учреждения.","Медицина в целом, это хорошо, я не против официальной медицины, я не против фармакологии, я обеим руками сам, потому что травмами буквально не все вылечишь. А вот медицина, которая есть в деятельности сейчас, нет.","Критичность, разочарование","Профессионализм, индивидуальный подход, доверие к специалисту",Критика современной медицины и поиск 'своего' врача характерны для людей с хроническими заболеваниями и опытом разочарования в системе здравоохранения.,декларация,государственная и частная медицина,,пользователь медицинских услуг,,
7,Зрелый возраст,Опыт обращения за медицинской помощью,"Респондентка пользуется как государственными, так и частными медицинскими учреждениями, но отмечает, что полное обследование и лечение в частных клиниках ей не по карману. Важнее всего для нее — найти хорошего специалиста.","Я пошёл и туда, и туда. Если счёт честного переклинивания так, как мне бы хотелось, вот с полным обследованием, с полным лечением, то есть это мне не по карману.","Реализм, легкое разочарование","Качество, профессионализм, доступность","Финансовые ограничения и поиск качественной медицинской помощи — типичная проблема для пожилых людей, особенно при наличии хронических заболеваний.",эпизод,государственная и частная медицина,,пользователь медицинских услуг,,
8,Зрелый возраст,Отношение к вакцинации,"Респондентка положительно относится к вакцинации, готова прививаться при необходимости, но не проявляет избыточной инициативы.","Ну, сейчас у меня нет необходимости, но я бы и так помогла Маку от ковида. То есть я бы сделала клипы перед этим.","Спокойствие, рациональность","Здравый смысл, ответственность",Прагматичный подход к вакцинации характерен для людей с доверием к официальной медицине и опытом жизни в советской и постсоветской системе здравоохранения.,декларация,медицина,,,,
9,Зрелый возраст,Психологическое благополучие и отношение к психологической помощи,"Респондентка признает, что не всегда довольна своим эмоциональным состоянием, отмечает тревожность и периоды подавленности. Положительно относится к психологической помощи, хотя сама не обращалась, но видит пользу для других.","Ну, я с собой не доволен сейчас.","Недовольство, тревожность","Психологическое здоровье, открытость к помощи",Положительное отношение к психологической помощи отражает постепенное изменение отношения к ментальному здоровью среди старшего поколения.,декларация,,,,,
10,Зрелый возраст,Забота о здоровье близких и опыт ухода,"Респондентка переживает за здоровье близких, пытается мотивировать их на обследования, но сталкивается с их сопротивлением. Имеет опыт ухода за больными родственниками, привлекает к этому знакомых.","Ну, если вот как бы так прямолинейно, то, зная, на что он усваивается, да, на его полу, понимаешь, что нужно пройти обследование. ... Поэтому я на всякий случай подстраховалась и активировала всех знакомых, кого знаю. Но вытащили.","Тревога, забота, беспомощность","Семейная ответственность, забота, коллективизм","Забота о здоровье близких и опыт ухода — важная часть жизни пожилых женщин, часто сопровождается чувством тревоги и необходимостью мобилизовать социальные связи.",эпизод,"семья, неформальные сети",,,,
11,Зрелый возраст,Страхи и ожидания относительно будущего здоровья,"Респондентка задумывается о будущем, боится оказаться беспомощной и нуждаться в уходе. Рассчитывает на помощь детей, но не уверена в их готовности.","Больше всего мне хотелось бы стать адресом терапевтических отделов ЧАЭС. Никаких отменок, никаких отменок, ничего того, что не возит в решетку.","Тревога, неуверенность","Самостоятельность, безопасность, поддержка семьи","Страх утраты самостоятельности и размышления о будущем уходе типичны для пожилых людей, особенно женщин, и отражают недостаточную институциональную поддержку старшего поколения.",узел,семья,ожидание поддержки от детей,,,
1,"Зрелый возраст, пенсионный период",Забота о близких и личные ограничения,"Респондентка испытывает трудности в оказании помощи близким, ощущает усталость и невозможность полностью посвятить себя заботе о других из-за собственных ограничений.","Для меня в этом теме важно только одно, что я ничего не могу сделать для своих близких... Для меня сложно, и очень утомительно постоянно из малого тянуть ноги.","Усталость, фрустрация, грусть","Забота о семье, ответственность, самопожертвование","Респондентка демонстрирует типичную для старшего поколения установку на самоотверженность ради семьи, но сталкивается с физическими и эмоциональными ограничениями, что вызывает внутренний конфликт.",узел,,,,True,
2,"Пенсионный возраст, текущий момент",Финансовое положение и расходы,"Респондентка отмечает нехватку пенсии и зарплаты, необходимость экономить, основные траты — медицина, жилье, подарки близким.",Мне не всегда хватает моей пенсии и моих зарплат... У нас основные деньги не хватили на больницу.,"Огорчение, неудовлетворенность","Бережливость, забота о здоровье, поддержка близких","Финансовая неустойчивость и приоритет медицинских расходов характерны для пожилых людей, особенно в условиях ограниченных доходов.",эпизод,,,низкая,True,
3,Вся взрослая жизнь,Отношение к тратам и крупным покупкам,"Респондентка не склонна к спонтанным или крупным тратам, предпочитает экономить, не покупает дорогую технику или мебель без крайней необходимости.","Я всю жизнь получала немного... не считаю правильным закупать технику, мебель и все прочее, пока могут быть люди.","Сдержанность, рациональность","Экономность, рациональность, приоритет нужд семьи","Склонность к экономии и отказу от излишеств отражает опыт жизни в условиях ограниченных ресурсов, характерный для старшего поколения.",декларация,,,низкая,True,
4,Настоящее время,Использование современных сервисов и технологий,"Респондентка не пользуется маркетплейсами из-за технических сложностей, предпочитает традиционные способы покупок.","У меня нет, у меня не получилось... Я, наверное, просто перенаправила первую, а у меня не получилась обратная показанная книга, но... с тех пор я не пользуюсь.","Разочарование, отчуждение","Приверженность привычному, осторожность","Трудности с освоением цифровых сервисов типичны для пожилых людей, что ограничивает их участие в современной экономике.",эпизод,,,очень низкая,True,
5,Настоящее время,Покупки и предпочтения,"Респондентка предпочитает покупать новые вещи, не доверяет подержанным товарам, делает покупки в супермаркетах, редко пользуется доставкой.","Я предпочитаю малое. Так как у меня всегда добросовестные предательства, даже на клещи.","Недоверие, осторожность","Чистота, надежность, привычка к самостоятельности","Недоверие к подержанным вещам и предпочтение самостоятельных покупок отражают ценности поколения, выросшего в условиях дефицита и необходимости беречь вещи.",декларация,,,средняя,True,
6,"Пенсионный возраст, последние годы",Собственность и имущественные вопросы,"У респондентки нет собственности на жилье или автомобиль, это ее осознанное решение.","У меня в собственности нет ничего. Это, это, это, это мое решение.","Спокойствие, принятие","Свобода от материальных обязательств, самостоятельность","Отказ от собственности может быть связан с личными убеждениями или семейными обстоятельствами, что нехарактерно для большинства представителей поколения.",декларация,отсутствие частной собственности,,,True,
7,Пенсионный возраст,Доходы и бюджет,"Основной доход — пенсия, сумма порядка 14-15 тысяч рублей в месяц, летом чуть меньше из-за отсутствия компенсации за отопление. Доходы нестабильны.","Если постоянная одна пенсия, то получается порядка 15 тысяч. То есть зимой это порядка 15 тысяч, а летом это 14 тысяч.","Сдержанность, реализм","Адаптация к обстоятельствам, честность","Низкий и нестабильный доход типичен для пенсионеров, особенно женщин, что влияет на уровень жизни и потребительское поведение.",эпизод,,,,True,
8,Вся взрослая жизнь,Отношение к образованию,"Респондентка получила высшее образование бесплатно, считает платное образование менее справедливым, предпочла бы бесплатное для своих близких.","Отряд начинался, конечно, бесплатно... Препараты те же самые. Все те же самые. Только бесплатный человек сможет пройти на бюджет, а платного он не сможет.","Убежденность, принципиальность","Справедливость, равенство возможностей",Установка на бесплатное образование отражает советские ценности и недоверие к коммерциализации социальной сферы.,декларация,бесплатное высшее образование,,,True,
9,Настоящее время,Семейный бюджет и финансовые решения,"В семье нет общего бюджета, расходы и доходы разделены, крупные траты оплачиваются по ситуации, нет строгого планирования.","У нас нет такого школы, как у меня было... В течение моего четкого трата нет рамок, поэтому...","Небольшое недовольство, принятие","Автономия, гибкость",Раздельный бюджет и отсутствие финансового планирования могут быть следствием индивидуализации семейных отношений в зрелом возрасте.,эпизод,,,,True,
10,Настоящее время,Гендерные роли и труд,"Респондентка придерживается патриархальных взглядов на распределение ролей в семье, но признает, что в современной жизни женщины часто зарабатывают больше.","У меня в этом плане патриархальный господь, конечно, должен зарабатывать мучком... Но у меня такого нет.","Смешанные чувства, ностальгия, принятие изменений","Традиционализм, адаптация","Сочетание традиционных и современных взглядов на гендерные роли характерно для женщин старшего поколения, сталкивающихся с изменениями в обществе.",декларация,,,,True,
11,Настоящее время,Отношение к деньгам и финансовым целям,"Деньги ассоциируются со свободой выбора, желаемый доход для семьи — около 100 тысяч рублей в месяц.","Деньги — это свобода выбора... Я думаю... Ну, наверное, 100 тысяч в месяц платили.","Мечтательность, реализм","Свобода, комфорт","Финансовые ожидания респондентки отражают стремление к стабильности и независимости, несмотря на текущие ограничения.",декларация,,,,True,
12,Настоящее время,Взаимодействие с государственными структурами,"Респондентка негативно относится к государственным учреждениям, избегает обращения за перерасчетом пенсии из-за чувства унижения и неудобства.","Я уже давно выяснила, что мне неправильно платить на пенсии... Мне больше вот это унижение, я не знаю, смогу ли я его перенести.","Раздражение, обида, усталость","Достоинство, независимость","Недоверие к государственным институтам и избегание бюрократических процедур типичны для людей, имеющих негативный опыт взаимодействия с ними.",эпизод,"пенсионный фонд, государственные органы",,,True,
1,зрелый возраст,Взаимодействие с государственными сервисами и бюрократией,"Респондент рассказывает о своем опыте взаимодействия с государственными структурами: мобильные приложения, оформление документов, очереди, потеря документов, необходимость предоставления характеристик с работы. Испытывает разочарование и усталость от неэффективности и формализма.","Нет такого, как вот пришел, попал, сделал, что нужно, ушел. Этого никогда не было.","раздражение, усталость, разочарование","эффективность, прозрачность, уважение к человеку","Опыт респондента типичен для людей, сталкивающихся с российской бюрократией: формализм, отсутствие клиентоориентированности, низкая информированность сотрудников. Это формирует недоверие к институтам и ощущение беспомощности.",эпизод,"госуслуги, паспортный стол, мобильные приложения",,,,
2,зрелый возраст,Опыт взаимодействия с налоговой и работодателем,"Респондент описывает трудности с пониманием налоговой системы, неуверенность в действиях работодателя, необходимость самостоятельного контроля за уплатой налогов.","Я только опомнилась на пункте, как правильно чек составлять, что вообще можно составлять. Я думаю, что работодатель не знает, что это все оплачено.","неуверенность, настороженность","ответственность, самостоятельность",Недостаточная прозрачность налоговой системы и слабая информированность граждан о своих правах и обязанностях характерны для постсоветского пространства. Респондент вынужден самостоятельно разбираться в сложных вопросах.,эпизод,"налоговая инспекция, работодатель",,частичное,,
3,зрелый возраст,Столкновения с полицией и потеря имущества,"Респондент дважды сталкивалась с кражей сумки и обращением в полицию, отмечает формальный подход сотрудников, отсутствие реальной помощи и нежелание обращаться в дальнейшем.","У нас будет дело не раскрытое, а как же это будет? То есть у нас решение. Ну, то есть, да, по-моему, закончилось. Вы понимаете, что мы никого не найдем?","разочарование, апатия","справедливость, безопасность",Недоверие к правоохранительным органам и ощущение их неэффективности приводит к снижению гражданской активности и отказу от обращения за помощью.,эпизод,полиция,,,,
4,зрелый возраст,Опыт столкновения с мошенничеством,"Респондент упоминает случай мошенничества, но не стала обращаться в полицию, ссылаясь на недоверие и усталость от формализма.","Но с этим я не стала обращаться, ничего, потому что, опять же...","апатия, недоверие","самостоятельность, осторожность","Растущее недоверие к институтам приводит к тому, что граждане предпочитают не обращаться за защитой своих прав.",эпизод,полиция,,,,
5,"семейная жизнь, зрелый возраст",Семейные судебные процессы,"Респондент упоминает о судебном процессе, связанном с наследством после смерти отца.",Было ли у вас раздумение дома после книги отца в интервью? Угу.,"спокойствие, принятие","семья, справедливость","Семейные судебные процессы часто становятся источником стресса, но респондент говорит о них спокойно, что может свидетельствовать о принятии неизбежности подобных ситуаций.",эпизод,суд,,,,
6,семейная жизнь,Служба в армии родственников,"Респондент сообщает, что сын и второй муж проходили службу в армии, выражает мнение о необходимости контрактной службы.","Я считаю, что оно должно быть удобнее.","нейтральность, рациональность","долг, рациональность","Отношение к службе в армии становится более прагматичным, поддерживается идея контрактной службы как более современной и эффективной.",декларация,армия,,,,
7,зрелый возраст,Отношение к государству и его функциям,"Респондент рассуждает о функциях государства, отмечает его роль в социальной и защитной сферах, но выражает сомнения в эффективности реализации этих функций.","Государство, у него функция заложена, естественно, на середину, это и социальная сфера, и круговая сфера.","сомнение, критичность","социальная справедливость, защита","Респондент демонстрирует понимание теоретических функций государства, но отмечает разрыв между декларируемыми задачами и реальностью.",декларация,государство,,,,
8,зрелый возраст,Власть и общество: структура и отношение,"Респондент рассуждает о природе власти, ее дисциплинирующей функции, отмечает отдаленность власти от общества и необходимость большей ориентированности на людей.","Власть, она должна быть. Она дисциплинирует общество. Я считаю так.","рефлексия, критичность","порядок, справедливость","Респондент осознает важность власти для поддержания порядка, но отмечает недостаточную связь между властью и обществом.",декларация,власть,,,,
9,зрелый возраст,Оценка работы региональной и федеральной власти,"Респондент критикует региональную власть за отсутствие заботы и неэффективность, отмечает формальный подход к решению проблем, приводит пример с очистными сооружениями.","Нет заботы. Нет, нет, нет, нет, нет, нет, нет, нет.","разочарование, критика","забота, ответственность","Недовольство региональной властью связано с ощущением отстраненности и формализма, что типично для провинциальных городов.",декларация,"региональная власть, федеральная власть",,,,
10,зрелый возраст,Отношение к политическим институтам и их функциям,"Респондент демонстрирует базовое понимание структуры федеральной власти, отмечает важность законодательной работы, но не проявляет особого интереса к деталям.",Правительство принимает решение по значимым вопросам для государства. Федеральное собрание это Законодательная работа.,"нейтральность, дистанция","структурированность, порядок","Респондент не вовлечен в детали политической жизни, что характерно для большинства граждан, не связанных с политикой напрямую.",декларация,"правительство, федеральное собрание",,,,
