id,life_stage,theme,summary,quote,emotion,values,sociological_note,type,institution,market_participation,housing_promised,collapse_context
2,Настоящее,Влияние внешних обстоятельств и личных решений на будущее,"Респондент признает, что на будущее влияют как собственные решения, так и внешние обстоятельства.",И внешние обстоятельства могут тоже повлиять на будущий человек.,"Реализм, принятие","Гибкость, адаптация","Осознание ограниченности личного контроля над жизнью типично для людей, живущих в условиях социальной и экономической неопределенности.",декларация,,,,
3,Настоящее,Отношение к месту жительства и жилищным планам,"Респондент доволен текущим местом жительства, не планирует переезд, хотя размышляет о смене квартиры на частный дом, но решение не принято.","Нам нравится там, где мы живем. Уезжать куда-то не хотим. По поводу смены дома, поменять квартиру на частный дом. Были мысли, но мы до конца еще в этом не уверены.","Уверенность, спокойствие, некоторая неопределенность","Стабильность, комфорт, семейное благополучие",Стабильность жилищной ситуации и отсутствие миграционных настроений могут свидетельствовать о привязанности к месту и удовлетворенности текущими условиями.,узел,,,False,
4,Рефлексия настоящего,Семейные ценности и жизненные приоритеты,"Для респондента важнее всего благополучие семьи и близких. Семья и дети — обязательные элементы хорошей жизни, а бездетные семьи воспринимаются как неполноценные.",Обязательно семья должна быть. Должны быть обязательно дети. Обязательно. Минимум хотя бы один должен быть. Я не понимаю семьи. Даже придумали название Child Free. Без детей. Я этого вообще никогда не пойму.,"Уверенность, категоричность","Семья, дети, традиционные ценности","Респондент выражает традиционалистские взгляды на семью, что типично для части российского общества, негативно относящейся к альтернативным семейным моделям.",декларация,,,,
5,Рефлексия настоящего,Жизненные принципы и адаптация,"Респондент не выделяет особых жизненных принципов, отмечает необходимость подстраиваться под обстоятельства, особенно в работе, но в личной жизни сохраняет самостоятельность.","Ситуации разные бывают. подстраиваться. Но это в плане работы, а в плане собственной жизни, да, там никто меня не может заставить жить так, как я, например, не хочу, да.","Спокойствие, прагматизм","Адаптивность, личная свобода","Гибкость в профессиональной сфере сочетается с внутренней автономией в личной жизни — характерная черта для людей, балансирующих между внешними требованиями и личными границами.",декларация,,,,
6,Рефлексия настоящего,Оценка жизненного пути и возможности изменений,"Респондент не сожалеет о прошлом, допускает, что мог бы что-то изменить, но в целом доволен жизнью и считает, что еще не поздно что-то поменять или научиться новому.","Но в целом я считаю, что все нормально. Так. И еще, как бы, я же не считаю, что я сильно старый, да, там, что можно что-то еще и поменять. На самом деле, если уж что-то действительно прям совсем не устраивает, можно еще чему-то научиться и что-то поменять в своей жизни.","Умеренный оптимизм, принятие","Открытость к изменениям, саморазвитие",Готовность к изменениям и обучению даже в зрелом возрасте свидетельствует о внутренней активности и отсутствии фатализма.,декларация,,,,
7,Рефлексия настоящего,Страхи и отношение к смерти,"Респондент не испытывает сильных страхов, старается избегать негативных мыслей о смерти, чтобы не впасть в депрессию.","Нет. Если постоянно на негативе быть, это может очень сильно повлиять. Это может депрессия просто начаться у человека. Поэтому стараешься избегать.","Спокойствие, рациональность","Психологическое здоровье, избегание негатива",Стремление избегать негативных размышлений о смерти может быть защитной стратегией в условиях неопределенности.,декларация,,,,
8,Рефлексия настоящего,Рефлексия над интервью и самоосознание,"Респондент отмечает, что некоторые вопросы интервью заставили задуматься о вещах, о которых раньше не думал, но в целом не испытывает сильных эмоций по этому поводу.","Какие-то вещи, над которыми стоит задуматься. Вопросы некоторые задавали. Я так подумал. Я об этом не думал вообще никогда. Может быть, и стоило.","Легкая задумчивость, спокойствие","Рефлексия, открытость к новым мыслям","Интервью становится поводом для саморефлексии, что может быть редкостью в повседневной жизни респондента.",эпизод,,,,
1,"Вступление в интервью, настоящее время",Социально-демографические характеристики,"Респонденту 38 лет, он женат, имеет ребенка, проживает в Кромах Орловской области, по национальности русский, родной язык — русский, образование высшее.","38. 38. Ну и такие несколько общих вопросов. Какой национальности вы себя относите? Русский. Русский. Какое у вас семейное положение? — женат, ребенок.",нейтрально-деловой,"семья, образование, идентичность","Респондент демонстрирует типичный для малых городов России социальный профиль: стабильное семейное положение, проживание в родном регионе, этническая и языковая однородность.",декларация,"семья, образование, место жительства",,,
2,Детство и школьные годы,Семья и раннее окружение,"Респондент рос в полной семье с младшей сестрой, отношения с родителями и родственниками были обычными, поддерживающими. Детство вспоминает как спокойное и типичное для своего времени.","Ну, с родителями, жил с сестрой, с отцом, с матерью, да как бы как и все.","спокойствие, удовлетворенность","семейная поддержка, нормальность, стабильность","Воспоминания о детстве типичны для провинциальных российских семей конца 80-х — 90-х: акцент на семейной поддержке, отсутствии острых конфликтов, нормализованное восприятие своего опыта.",эпизод,семья,,,
3,Детство,Досуг и социализация,"Детство респондента прошло на улице, в играх с друзьями, посещал авиамодельный кружок. Воспринимает свое детство как более свободное по сравнению с современными детьми.","Все гуляли так, ходили на улице. Не так, как сейчас у детей. Полностью все заняты кружками, школами. Мне кажется, в мое детство как-то все было попроще.","ностальгия, легкая гордость","свобода, простота, самостоятельность","Респондент противопоставляет свое детство современному, подчеркивая большую свободу и самостоятельность, что характерно для поколения, выросшего до массового распространения гаджетов и организованных кружков.",декларация,"досуг, кружки",,,
4,Детство,Яркие воспоминания и дисциплина,"Вспоминает случай, когда ушел на рыбалку с другой компанией, не предупредив родителей, что вызвало беспокойство и поиски. Был наказан, но воспринимает это как обычный эпизод.","Ушел на целый день, никому не сказал просто, куда ушел. Ну да, там перенервничали все. Всем двором искали, но ничего. Нашли, ругали сильно.","спокойствие, легкая ирония","ответственность, семейная забота","Эпизод иллюстрирует типичную для малых городов коллективную заботу и контроль со стороны взрослых, а также важность неформальных правил поведения.",эпизод,"семья, соседское сообщество",,,
5,Детство и юность,Образование и отношения в школе,"Учился средне, без особых успехов и провалов. Предпочитал биологию и физику, испытывал трудности с русским языком из-за отношений с учителем. В университете с русским языком проблем не было.","В школе каких-то успехов не было сверх, но и плохо тоже не учился. Все, скажем так, как-то средне.","нейтральность, легкая рефлексия","справедливость, объективность, самопринятие","Респондент демонстрирует критичное отношение к системе образования, отмечая влияние личности учителя на успеваемость. В университете ситуация изменилась, что подчеркивает значимость образовательной среды.",узел,"школа, университет",,,
6,"Юность, выбор профессии",Поступление в университет и выбор специальности,"Поступил на экономическую специальность, руководствуясь простотой поступления, а не осознанным выбором. Сейчас сожалеет, что не выбрал техническую специальность.","Да потому, что проще всего туда было поступить. Вот и все. Я еще тогда совсем не понимал, что мне нравится, чего я хочу.","легкое сожаление, рациональность","прагматизм, рефлексия","Выбор профессии по принципу доступности, а не интереса, типичен для молодежи из малых городов с ограниченными образовательными возможностями.",перелом,университет,,,
7,"Взрослая жизнь, профессиональная траектория",Работа и профессиональное развитие,"Работал в продажах, сменил три места работы, сейчас занимается продажей кормов для животных, что ему нравится. Получал дополнительное образование по профессии.","Вот то, чем я сейчас непосредственно занимаюсь, мне нравится. Я вот в этой сфере уже три года. Мне очень нравится.","удовлетворенность, уверенность","профессионализм, развитие, интерес к делу","Профессиональная траектория респондента типична для регионального рынка труда: смена нескольких мест работы, ориентация на востребованные ниши, получение дополнительного образования по ходу карьеры.",узел,"работа, дополнительное образование","рынок труда, продажи",,
8,Взрослая жизнь,Особенности работы в продажах,"Работа строится на долгосрочных отношениях, специфике рынка кормов, знании продукции и логистики. Опыт в продажах большой, считает, что успех зависит не от 'волшебства', а от профессионализма.","Вот этот же бизнес, он строится на долгосрочных отношениях. Правильно ли, ну, здесь не получится каждый день там находить новых партнеров каких-то, да, здесь немножечко все-таки другое специфика такова...",профессиональная уверенность,"доверие, компетентность, долгосрочные отношения","Респондент подчеркивает специфику B2B-продаж в сельскохозяйственном секторе, где важны не только навыки убеждения, но и знание рынка, логистики, построение доверия.",декларация,работа,"рынок кормов, B2B",,
9,"Молодость, личная жизнь до брака",Первый опыт отношений,"В университете жил с девушкой, отношения завершились, чему респондент рад. Считает этот опыт важным и благодарен судьбе, что не остался с этим человеком.","Я просто понял, хорошо, что я с этим человеком не остался, что мы абсолютно разные люди. И жить невозможно.","облегчение, благодарность","самостоятельность, осознанность, благодарность за опыт","Респондент демонстрирует рефлексивное отношение к личной жизни, ценит опыт, даже если он был негативным, и использует его для формирования дальнейших жизненных стратегий.",перелом,личные отношения,,,
10,"Взрослая жизнь, семья",Семейная жизнь и воспитание ребенка,"В браке, воспитывает 10-летнего сына. К рождению ребенка подошли осознанно, трудности были в начале, но сейчас все стабильно. Сын занимается лошадьми в бесплатной спортивной школе.","Понимаете, то есть мы с женой как бы ждали этого ребенка, мы хотели именно. Понимаете, то есть осознанно подошли, то есть ни рано, ни поздно.","уверенность, спокойствие","осознанность, ответственность, поддержка","Семейная стратегия респондента характеризуется осознанным подходом к родительству, ориентацией на самостоятельность и поддержкой развития ребенка через доступные местные ресурсы.",узел,"семья, бесплатная спортивная школа",,False,
11,Взрослая жизнь,Отношения с близкими и круг общения,"Старается не зависеть от других, избегает негативного влияния, ограничивает круг общения только интересными и близкими людьми.","Я стараюсь ни от кого не зависеть. Чтобы люди влияли, никому за помощью стараться не бежать.","уверенность, самостоятельность","независимость, самодостаточность, рациональность","Респондент демонстрирует индивидуалистскую стратегию в построении социальных связей, характерную для зрелых людей с устойчивым социальным положением.",декларация,,,,
12,Студенчество,Опыт проживания вне дома,"Переезд в Орел для учебы не был стрессом, проживание в общежитии воспринимает как позитивный опыт.","Вообще не стресс, вообще не стресс. Было классно, как бы весело.","позитив, легкость","адаптивность, открытость новому","Респондент легко адаптируется к новым условиям, что может быть связано с предыдущим опытом самостоятельности и поддержкой семьи.",эпизод,"общежитие, университет",,,
13,"Взрослая жизнь, профессиональная этика",Сложные решения и моральные дилеммы на работе,"Иногда приходится принимать решения не по совести, защищая интересы компании, а не клиента. Считает, что психологическая устойчивость — необходимое качество для работы в продажах.","ты человек компании и защищаешь ее интересы, а не интересы клиента, тебе нужно, защищать, скажем так, эту компанию.","прагматизм, некоторая отстраненность","лояльность компании, профессионализм, психологическая устойчивость","Респондент осознает противоречия между личной моралью и профессиональными обязанностями, что типично для работников сферы продаж и обслуживания.",узел,работа,"рынок труда, продажи",,
1,"Зрелый возраст, семейная жизнь",Распорядок буднего дня и свободное время,"Респондент описывает свой типичный будний день: после работы ужин, домашние дела, короткая прогулка, немного времени на отдых и проверку уроков. Свободного времени очень мало.","Мало, очень мало времени. Это же будние дни. В течение работы времени нет свободного.","усталость, смирение","ответственность, семейные обязанности, трудолюбие","Респондент демонстрирует типичный для зрелого возраста баланс между работой и семейными обязанностями, с явным дефицитом личного времени.",эпизод,,,,True
2,"Зрелый возраст, семейная жизнь",Распределение домашних обязанностей,"В семье нет строгого разделения домашних обязанностей, но жена берет на себя большую часть готовки и уборки. Респондент помогает по мере необходимости, особенно в праздники.","Я умею готовить еду, да, но этим в основном занимается жена. Еду на праздники мы готовим вместе.","спокойствие, принятие","партнерство, взаимопомощь, семейные традиции","Семейная модель с гибким распределением ролей, но с сохранением традиционного уклада.",декларация,,,,True
3,"Зрелый возраст, профессиональная деятельность",Рабочий график и условия труда,"Рабочий день с 8:30 до 17:30, но в сезон перерывы могут отсутствовать. Руководство находится в другом городе, контроль минимален, но объем работы большой и постоянный.","Работу никто не отменял, ее объем, текучка, все эти дела накапливаются, и это все равно потом делать придется.","усталость, напряжение","ответственность, самостоятельность, профессионализм","Работа требует высокой самоорганизации, характерна для офисных и выездных специалистов среднего звена.",эпизод,"холдинг, завод",,,True
4,"Зрелый возраст, профессиональная деятельность",Командировки и зона ответственности,"Зона ответственности респондента охватывает несколько регионов, командировки регулярны и могут длиться от двух дней до недели.","У меня зона ответственности, чтобы вы поняли, это юг Москвы, Тула, Орел, Смоленск, Калуга, Кострома, Владимир, Санкт-Петербург.","усталость, некоторая гордость","ответственность, мобильность",Работа связана с высокой мобильностью и необходимостью поддерживать связи с партнерами в разных регионах.,эпизод,,"B2B продажи, командировки",,True
5,"Зрелый возраст, профессиональная деятельность",Коллектив и рабочие конфликты,"Коллектив на работе нездоровый, между отделами постоянные конфликты, особенно между отделом продаж и заводом.","У нас очень нездоровый коллектив, учитывая, что это холдинг. Завод сам по себе. Там отдел продаж сам по себе.","раздражение, ирония","прагматизм, профессиональная дистанция",Типичная ситуация для крупных предприятий с разобщённой структурой и внутренней конкуренцией.,декларация,"холдинг, завод, отдел продаж",,,True
6,"Зрелый возраст, профессиональная деятельность",Мотивация к работе,"Работа воспринимается исключительно как способ заработка, а не как хобби или призвание. Возможность сменить работу ради большей зарплаты рассматривается, но не в текущем регионе.","Это вообще не хобби. Конечно, ради денег. Может быть, если где-то было бы место, где можно было бы больше заработать, да, естественно, меня бы там уже не было.","прагматизм, некоторая неудовлетворенность","материальная стабильность, рациональность","Работа как инструмент обеспечения семьи, а не источник самореализации.",декларация,,,,True
7,"Зрелый возраст, семейная жизнь",Досуг и занятия для души,"В свободное время респондент занимается огородом, выращивает виноград, делает вино. Это воспринимается как отдых, хотя и требует усилий.",Вот у меня там растет виноград на огороде... Вино делаем.,"удовлетворение, спокойствие","трудолюбие, связь с природой, семейные традиции","Занятия на огороде и виноделие — часть досуга, связанная с самообеспечением и традициями.",эпизод,,"личное производство, некоммерческое",,True
8,"Зрелый возраст, семейная жизнь",Досуг: городские развлечения и медиа,"Посещение кинотеатров и городских мероприятий происходит редко, чаще досуг связан с просмотром телевизора или использованием Telegram.","Летом может быть вообще не до телевизора. Так, знаете, перед сном на 15 минут на фоне или вообще просто есть телеграм, там очень-очень много всего интересного.","нейтральность, легкая усталость","информационная открытость, умеренность в развлечениях","Городские развлечения не являются приоритетом, досуг смещён в сторону домашних и цифровых форматов.",эпизод,,,,True
9,"Зрелый возраст, семейная жизнь",Экологические привычки и отношение к экологии,"Семья не мусорит, учит ребенка не бросать мусор, но не участвует в субботниках и не сортирует отходы. Считает, что на уровне семьи мало что можно изменить.",На природе никогда не оставляем никакие там мешки... чтобы мы участвовали как-то яро в каких-то субботниках... Такого тоже нет.,"реализм, легкая ирония","ответственность, скептицизм к массовым практикам","Пассивное экологическое поведение, характерное для жителей малых городов и сельской местности.",декларация,,,,True
10,"Зрелый возраст, семейная жизнь",Праздники и семейные традиции,"Семья отмечает все основные праздники, включая государственные и религиозные, как повод для встреч с друзьями и родственниками.","Праздников уйма, только праздновать. Повод встретиться с друзьями, мясца пожарить, вкусно поесть.","радость, удовлетворение","общение, традиции, гостеприимство",Праздники — важный элемент поддержания социальных связей и семейной идентичности.,эпизод,,,,True
11,"Зрелый возраст, профессиональная деятельность",Отпуск и отдых,"Отпуск чаще всего проводится в России, обычно две недели. Даже в отпуске респондент остается на связи по работе, отдых сопровождается тревогой за рабочие дела.","Вроде бы как бы ты и отдыхаешь, но ты все время за что-то переживаешь. Нет такого, что кому-то ты можешь оставить своих клиентов.","тревожность, неудовлетворенность","ответственность, контроль",Трудоголизм и невозможность полностью отключиться от работы — характерная черта для специалистов с высокой зоной ответственности.,эпизод,,,,True
12,"Зрелый возраст, семейная жизнь",Идеальный отпуск,"Идеальный отпуск для респондента — без рабочих гаджетов, на машине, с возможностью самостоятельно планировать маршрут и отдых.","Вообще он был бы, наверное, только с личным телефоном, с одним, без всяких ноутбуков... отпуск на машине.","мечтательность, легкая тоска","свобода, автономия, семейные ценности","Стремление к автономии и контролю даже в отдыхе, предпочтение самостоятельных путешествий.",декларация,,,,True
13,"Зрелый возраст, семейная жизнь",Удовлетворенность распорядком дня,"Респондент в целом доволен своим распорядком дня, считает его типичным для работающих людей.","Да нормальный распорядок дня. Все так, наверное, работают.","удовлетворение, смирение","реализм, адаптация",Принятие рутины и отсутствие стремления к радикальным переменам.,декларация,,,,True
14,"Зрелый возраст, семейная жизнь",Усталость и способы восстановления,"Иногда респондент испытывает усталость и перегрузку, но считает, что выходные позволяют восстановиться.","Иногда бывает усталость, перегрузка, когда реально постоянно телефон звонит... В выходной день есть какие-то дела домашние, но это же не рабочие дела повседневные.","усталость, спокойствие","самоконтроль, баланс",Типичная стратегия восстановления для людей с высокой рабочей нагрузкой — переключение на домашние дела и отдых в кругу семьи.,эпизод,,,,True
15,"Зрелый возраст, семейная жизнь",Близкие люди и социальные связи,"Круг общения респондента — в основном коллеги из смежных профессиональных областей, с которыми поддерживаются дружеские отношения. Общение происходит по телефону и иногда в бане.","Это близкие люди, это друзья, это общие интересы. Все в основном продажники.","дружелюбие, удовлетворение","общность, профессиональная солидарность","Профессиональные связи перетекают в личные, что характерно для зрелого возраста и малых городов.",декларация,,,,True
16,"Зрелый возраст, семейная жизнь",Отношения с родственниками,С родственниками стараются встречаться на выходных или по необходимости после работы. Летом встречи становятся чаще.,Стараемся тоже на выходных посещать. Хотя бы через выходные.,"теплота, спокойствие","семейственность, поддержка","Семейные связи поддерживаются регулярно, но не навязчиво.",эпизод,,,,True
17,"Зрелый возраст, семейная жизнь",Семейные конфликты и их отсутствие,"В семье нет серьезных конфликтов, стараются не ругаться по мелочам, не вовлекают детей в ссоры.","Не было у нас никогда серьезных конфликтов. Да, и так-то, в принципе, стараемся не ругаться по мелочам.","спокойствие, гордость","гармония, уважение, забота о детях",Семья ориентирована на конструктивное общение и эмоциональное благополучие.,декларация,,,,True
18,"Зрелый возраст, семейная жизнь",Семейные традиции и праздники,"Семья отмечает праздники, но уникальных традиций нет. Пасхальные куличи покупают и получают в подарок от родственников.","У нас такая традиция, что мы покупаем куличи один, а потом нам еще кучу куличей надаривают родственники.","ирония, легкая радость","семейственность, традиции","Традиции формируются спонтанно, часто связаны с семейным и родственным обменом.",эпизод,,,,True
19,"Молодость, студенчество",Знакомство с супругой,Респондент познакомился с супругой в университете.,Университете.,"нейтральность, легкая ностальгия","образование, судьба",Высшее образование — важный социальный лифт и место формирования семей.,узел,университет,,,True
1,"Семейная жизнь, зрелый возраст",Взаимоотношения в семье и ценности брака,"Респондент считает, что для гармоничных отношений в семье важны общие интересы и ценности, а не противоположности. Решения по крупным расходам принимаются совместно, семейный бюджет общий.","Я вообще считаю, что это бредятина. Вообще полнейшая. У людей должно быть много общего. Общие какие-то ценности должны быть.","уверенность, спокойствие","единство, взаимопонимание, партнерство","Респондент придерживается традиционных взглядов на брак, подчеркивает важность общности и совместного принятия решений, что характерно для семей с устойчивыми отношениями.",декларация,семья,,,
2,"Родительство, зрелый возраст",Воспитание и отношения с ребенком,"Респондент не стремится к тому, чтобы ребенок был отличником, считает важным выполнение требований учителей и постепенное расширение самостоятельности и ответственности сына.","Мы не хотим, чтобы он был каким-то отличником... Он должен выполнять все требования, которые дают учителя.","спокойствие, реализм","самостоятельность, ответственность, умеренность","Воспитательная стратегия респондента ориентирована на баланс между требованиями и свободой, что отражает современные подходы к родительству.",эпизод,,,,
3,"Родительство, зрелый возраст",Роль родителя и дисциплина,"Респондент считает, что родитель должен быть примером для ребенка. В случае конфликтов применяет ограничения (лишение телефона, приставки), но без жестких наказаний.","Ну, наверное, примером надо быть как минимум.","уверенность, спокойствие","пример, справедливость, умеренность","Респондент демонстрирует авторитетный стиль воспитания, сочетая требовательность и поддержку.",декларация,,,,
4,Зрелый возраст,Дружба и поддержка,"Друзья помогают друг другу в трудных ситуациях, в том числе финансово. Конфликты случаются, но разрешаются с помощью третьих лиц, отношения становятся крепче.","Ну, друзья, ну, выручают, да, там, с чем-то, с какой-то помощью, там, отвезти, довезти. Ну, это как бы так, ну, постоянку вообще друг друга выручаем.","дружелюбие, благодарность","взаимопомощь, лояльность, доверие","Дружеские отношения респондента строятся на взаимной поддержке и способности преодолевать конфликты, что характерно для зрелых социальных связей.",эпизод,,,,
5,Зрелый возраст,Близкие отношения и доверие,"Самым близким человеком респондент считает жену. В случае трудностей обращается к разным людям в зависимости от ситуации, сам также готов поддержать других.","Ну, конечно, живет со мной вместе.","теплота, уверенность","доверие, взаимная поддержка","Семья выступает главным источником эмоциональной поддержки, однако респондент сохраняет широкий круг социальных связей.",декларация,,,,
6,Зрелый возраст,Круг общения и причины его формирования,"Круг общения сложился по интересам, респондент не испытывает чувства одиночества или изоляции.","По интересам, наверное.","нейтральность, удовлетворенность","общность, интересы","Формирование круга общения по интересам типично для зрелого возраста, когда социальные связи становятся более осознанными.",декларация,,,,
7,Зрелый возраст,Здоровье и образ жизни,"Респондента беспокоят профессиональные заболевания, связанные с сидячим образом жизни. Признает недостаток физической активности, наличие вредных привычек (курение, алкоголь), но не видит необходимости кардинально менять образ жизни.","Сидячий плохо, да, и горбом зарабатывать тоже плохо. Абсолютно здоровыми уже не назовешь.","самокритика, ирония","реализм, умеренность","Респондент осознает риски для здоровья, но не предпринимает активных шагов к изменению, что типично для людей с устоявшимся образом жизни.",декларация,,,,
