id,life_stage,theme,summary,quote,emotion,values,sociological_note,type,collapse_context,institution,housing_promised,housing_received,market_participation,housing_type,pets,employment_type,health_care,housing,housing_actual,healthcare_participation
1,"Кризис в семейных отношениях, обращение за поддержкой",Обращение к психологу и поиск поддержки,"После сложной ситуации с мужем респондентка обратилась к психологу онлайн, чтобы получить эмоциональную поддержку и взгляд со стороны. Она не искала глубокого лечения, а скорее нуждалась в возможности выговориться и получить мудрый совет от нейтрального человека.","Мне нужно было, наверное, просто рассмотреть ситуацию как бы вот на отдалении. Человек, который не знает ни меня, ни его.","спокойная рефлексия, благодарность, легкая грусть","самостоятельность, эмоциональная поддержка, мудрость, независимость","Респондентка демонстрирует высокий уровень саморефлексии и осознанности в отношении своих потребностей. Она не склонна драматизировать ситуацию, предпочитает рациональный подход и дистанцию, ценит профессиональную поддержку, но не идеализирует психологов.",эпизод,,"онлайн-группа поддержки, психолог",False,,потребление услуг психолога,,,,,,,
2,"Преодоление семейного кризиса, поддержка со стороны семьи мужа",Семейная поддержка и отношения с родственниками мужа,"В трудной ситуации респондентка получила поддержку от семьи мужа, включая свекровь и сына мужа. Это помогло ей почувствовать себя не одинокой и укрепило уверенность в себе.",Поэтому его семья меня поддерживает. Такая поддержка у меня есть.,"благодарность, уверенность, спокойствие","семейная солидарность, признание, поддержка",Поддержка со стороны семьи мужа иллюстрирует важность расширенных семейных связей и их роль в преодолении личных кризисов. Респондентка ценит признание и уважение со стороны близких.,эпизод,,семья мужа,False,,,,,,,,,
3,Переход к самостоятельной жизни после разрыва,Самостоятельность и опора на себя,"После расставания с мужем респондентка вновь ощущает себя самостоятельной, привыкшей полагаться на собственные силы. Она отмечает, что иногда это сложно, но считает это частью своей натуры.",Я пока привыкла полагаться на свои силы.,"уверенность, легкая усталость, принятие","самостоятельность, независимость, сила характера","Респондентка демонстрирует типичную для женщин старшего возраста стратегию опоры на себя, что может быть связано с жизненным опытом и необходимостью самостоятельного выживания в разные периоды жизни.",декларация,,,False,,,,,,,,,
4,"Зрелость, поддержание здоровья и дружеских связей",Отношение к здоровью и эмоциональному благополучию,"Респондентка не зацикливается на здоровье, предпочитая поддерживать душевное равновесие через общение с подругой и участие в культурных мероприятиях. Считает, что забота о душе не менее важна, чем о теле.","Душа. Душой надо тоже заниматься. Не только телом, но еще и душой.","оптимизм, легкость, юмор","жизнерадостность, эмоциональное здоровье, дружба","Видна ориентация на активное старение: поддержание социальных связей, участие в культурной жизни, позитивное отношение к возрасту и здоровью.",декларация,,дружеское окружение,False,,культурное потребление,,,,,,,
5,"Детство и юность на Сахалине, формирование отношения к деньгам",Финансовое положение семьи в детстве и юности,"В детстве семья жила скромно, иногда брали вещи в кредит. Позже, когда все работали, уровень жизни улучшился, появились подарки и возможность покупать хорошие вещи, но накоплений не было.","Помню, что мама в кредит, она потом сказала, что она взяла в кредит, принесла домой.","ностальгия, спокойствие","бережливость, трудолюбие, семейная поддержка","Опыт жизни в советское и постсоветское время формирует отношение к деньгам как к ресурсу, который нужно беречь и использовать с умом. Кредиты воспринимаются как вынужденная мера.",эпизод,,"семья, советская система кредитования",False,,"потребление, кредитование",,,,,,,
6,Студенчество и начало самостоятельной жизни,Финансовая самостоятельность в молодости,"Во время учебы респондентка получала стипендию и помощь от семьи, тратила деньги с умом, делала подарки близким, но не имела значительных накоплений.","Я к деньгам всегда относилась как-то так уважительно, и поэтому я подкапливала, я домой ехала с подарками.","гордость, удовлетворение","ответственность, щедрость, уважение к труду",Стратегия разумного потребления и ориентация на поддержку семьи характерны для советской молодежи. Отсутствие накоплений компенсируется взаимопомощью.,эпизод,,"вуз, семья",False,,"стипендия, подарки",,,,,,,
7,"Постсоветский период, опыт приватизации",Ваучеры и неудачный опыт инвестирования,"Семья попыталась вложить ваучеры, но была обманута и потеряла деньги. Это укрепило осторожное отношение к финансовым инструментам.","Когда раздавали ваучеры, то нормальные люди их продали. Мы решили, что надо вложить куда-то. Естественно, что нас обманули.","разочарование, ирония","осторожность, недоверие к новым схемам",Опыт приватизации 1990-х годов оставил у многих россиян чувство недоверия к финансовым инновациям и государственным инициативам.,перелом,,"государство, рынок",False,,"приватизация, инвестиции",,,,,,,
8,"Зрелость, самостоятельная жизнь в новом городе",Финансовая стабильность и расходы в настоящем,"После переезда и устройства на хорошо оплачиваемую работу респондентка смогла позволить себе аренду жилья, регулярные расходы на питание, заботу о себе и домашних животных. Практикует накопления, но часть средств тратит на здоровье.","Сейчас, конечно, есть возможность зарабатывать. Ну, что-то откладывать, да.","уверенность, спокойствие","финансовая независимость, забота о себе и близких","Респондентка демонстрирует адаптацию к современным экономическим реалиям: аренда жилья, накопительные счета, рациональное потребление.",эпизод,,"рынок труда, банковская система",False,,"аренда, накопления, уход за животными",,,,,,,
9,"Зрелость, опыт дискриминации на рынке труда",Возрастная дискриминация при поиске работы,"Респондентка столкнулась с отказом в приеме на работу из-за возраста, несмотря на объявление о приеме пенсионеров. Это вызвало разочарование, но не сломило уверенность в себе.","А потом, когда я к ней подошла, говорю, ну что, вы берете мою Лену на работу? А она мне говорит, так она же в возрасте.","разочарование, ирония, стойкость","самоуважение, трудолюбие, справедливость","Возрастная дискриминация остается актуальной проблемой на российском рынке труда, особенно для женщин старшего возраста.",перелом,,рынок труда,False,,поиск работы,,,,,,,
10,"Зрелость, финансовое планирование и использование кредитных инструментов",Опыт использования кредитных карт,"Респондентка активно использует кредитные карты с льготным периодом для крупных покупок и путешествий, считает этот инструмент полезным при грамотном использовании.","Моя первая кредитная карта, это была карта Сбербанка. Как раз она помогла мне первый раз поехать в Индию.","практичность, удовлетворение","рациональность, финансовая грамотность","Использование кредитных карт становится частью финансовой культуры даже у людей старшего возраста, что говорит о росте финансовой грамотности.",эпизод,,банковская система,False,,"кредитование, путешествия",,,,,,,
11,"Зрелость, финансовые ожидания и планы",Ожидания по доходу и финансовые цели,"Респондентка считает, что для комфортной жизни ей достаточно 70 тысяч рублей в месяц, а идеальным доходом были бы 100 тысяч, что позволило бы быстрее накопить на жилье.","Я считаю, что для меня где-то порядка 100 тысяч, вот именно на меня на одну. Вот, наверное, это будет такой вот...","реализм, спокойствие","прагматизм, самостоятельность, финансовая независимость","Финансовые ожидания респондентки соотносятся с реальными потребностями и возможностями, что характерно для людей с опытом самостоятельного ведения хозяйства.",декларация,,,True,,"накопления, планирование покупки жилья",,,,,,,
1,"молодость, студенческие годы",Опыт платного и бесплатного образования,"Респондент рассказывает о собственном опыте получения образования: училась заочно на журфаке, не платила за обучение, кроме одного случая с предметом 'логика', когда пришлось внести деньги коллективно. В целом, платные курсы не вызывали у нее доверия, предпочитает очные и серьезные программы.","Мне пришлось 200 рублей, и плюс еще меня же заставили нести зачетки этому преподавателю. Он нам поставил за 200 рублей всем зачет, и я ушла ни с чем. А так бы я с удовольствием эту логику бы сдала.","разочарование, скепсис","честность, ценность настоящих знаний, самостоятельность","Респондент демонстрирует критическое отношение к формальному и некачественному образованию, ценит реальные знания и самостоятельное обучение. Отражает недоверие к массовым платным курсам, распространённым в 2000-х.",эпизод,,"университет (журфак), неформальные курсы",,,"минимальное, скептическое участие в рынке образовательных услуг",,,,,,,
2,"зрелость, профессиональная деятельность",Отношение к платным курсам и дополнительному образованию,"Респондент рассуждает о ценности платных курсов, приводит примеры из окружения: считает, что платить стоит только за те курсы, которые дают реальные знания и практические навыки (например, визаж). К онлайн-курсам относится с недоверием, предпочитает очные занятия при проверенных учреждениях.","Я считаю, что курсы должны быть именно вот такими. Может быть платными, но которые дают серьезное какое-то основание. А вот курсам в интернете, к сожалению, я, например, задумывалась иногда поменять работу... Но я боюсь платить за это, потому что я не верю этим курсам.","осторожность, прагматизм","практичность, качество образования, недоверие к поверхностным услугам",Отражает типичное для старшего поколения недоверие к онлайн-образованию и ориентацию на 'проверенные' формы обучения. Важна практическая отдача и реальный результат.,декларация,,"колледж, частные курсы, онлайн-курсы",,,"выборочное, критическое участие",,,,,,,
3,"зрелость, семейная жизнь","Взаимодействие с государственными органами (МФЦ, суды)","Респондент положительно оценивает работу МФЦ, отмечает удобство и профессионализм сотрудников. Судебных разбирательств в жизни было мало, кроме случая с разводом брата, где лично не участвовала.","Для меня МФЦ это очень большое дело. И сколько я обращаюсь, очень хороший персонал. Там люди действительно на совесть работают, туда приятно приходить.","благодарность, спокойствие","эффективность, профессионализм, удобство","Позитивное отношение к реформе государственных услуг (МФЦ) типично для горожан, ценящих снижение бюрократии. Личный опыт взаимодействия с судами минимален.",декларация,,"МФЦ, суд",False,,,,,,,,,
4,"зрелость, после утраты близких",Судебный конфликт с Газпромом из-за счетчиков,"После смерти матери респондент столкнулась с судебным иском от Газпрома из-за просроченной поверки счетчика. Несмотря на отсутствие фактического потребления газа, суд встал на сторону компании, и респонденту пришлось выплатить долг.","Это был негативный у меня, но это скорее даже не к суду негатив, а именно к нашей государственной, которая народное достояние.","несправедливость, обида","справедливость, прозрачность, ответственность","Ситуация иллюстрирует типичный конфликт гражданина с крупной государственной корпорацией, где формальные правила важнее жизненных обстоятельств. Отражает недоверие к системе и ощущение беспомощности.",перелом,,"Газпром, суд",False,,,,,,,,,
5,"зрелость, профессиональная деятельность",Отношения с налоговой и статус самозанятого,"Респондент официально оформлена как самозанятая, получает подработки через специальные программы, налоги платит своевременно, избегает задолженностей.","У меня есть статус самозанятого, то есть у меня есть какие-то подработки... Все это оплачивается сразу. То есть я стараюсь не затягивать, потому что я понимаю, что его все равно платить.","спокойствие, ответственность","законопослушность, прозрачность, самостоятельность","Демонстрирует адаптацию к новым формам занятости и налоговой отчетности, характерную для современных городских жителей.",декларация,,налоговая служба,,,активное участие в рынке подработок,,,,,,,
6,"зрелость, семейная жизнь",Опыт получения социальной помощи,В семье респондента социальной помощью пользовалась только мама как ветеран и инвалид (скидки на коммунальные услуги). Остальные виды помощи не востребованы из-за бюрократии и отсутствия оснований.,"Надо собрать тонну бумаги, чтобы получить там какие-то копейки, которые, ну, не стоят этого.","равнодушие, прагматизм","самостоятельность, рациональность",Отражает распространённое среди пожилых отношение к социальной помощи как к чему-то малозначимому и труднодоступному из-за бюрократии.,эпизод,,"соцфонд, коммунальные службы",,,,,,,,,,
7,"зрелость, семейная жизнь",Опыт кредитования и финансовой дисциплины,"Респондент аккуратно относится к кредитам, избегает просрочек, контролирует кредитную историю. В семье были небольшие задержки по платежам, но все быстро погашалось.","Если мы не сейчас внесем, то у нас пойдет просрочка, у нас испортится кредитная история, и мы больше ничего не можем взять.","ответственность, тревожность","финансовая дисциплина, ответственность",Финансовая грамотность и осторожность в кредитовании характерны для людей с опытом экономических кризисов.,эпизод,,банк (Тинькофф),,,"активное, но осторожное",,,,,,,
8,"зрелость, общественная позиция",Отношение к государству и власти,"Респондент выражает двойственное отношение к государственным органам: ценит отдельных честных руководителей, но в целом не доверяет системе из-за коррупции и неэффективности. Опыт работы депутатом и руководителем помогает понимать сложности управления.","Я понимаю, что государственная власть нам нужна, и государственные люди нам нужны. И в то же время мне очень хочется, чтобы вот они были... Ну вот, они были для нас.","разочарование, надежда","честность, служение обществу, справедливость","Демонстрирует типичное для старшего поколения сочетание критики власти и уважения к отдельным честным людям. Личный опыт в органах власти формирует более сложное, не черно-белое отношение.",декларация,,"органы власти, местное самоуправление",,,,,,,,,,
9,пенсионный возраст,Пенсия и трудовая активность на пенсии,"Респондент получает небольшую пенсию (15 тысяч рублей), вынуждена продолжать работать или искать подработки, чтобы обеспечить достойный уровень жизни.","Понимаете, пенсия в 15 тысяч, моя пенсия в 15 тысяч. Я бы, например, с удовольствием сейчас бы на пенсии, я бы, может быть, взяла бы себе какую-то подработку.","недовольство, вынужденная активность","самостоятельность, трудолюбие","Проблема низких пенсий и вынужденной трудовой активности на пенсии типична для современной России, особенно среди женщин старшего возраста.",узел,,"Пенсионный фонд, рынок труда",,,,,,,,,,
1,"Зрелость, активная гражданская позиция",Отношение к власти и государству,"Респондентка выражает критическое отношение к российской власти, отмечая размытость ответственности чиновников и отсутствие отчетности перед гражданами. Она подчеркивает важность честной работы и уплаты налогов, ожидая взамен социальной защищенности и прозрачности.","Я работаю по белому, я даже не хочу там куда-то, говорю, уходить в какой-то тень, потому что я понимаю, что я буду пользоваться этим, этим, этим. Мне нужен отпуск, мне нужен больничный. Я хочу работать честно. Да, я заработала вот деньги, и я с них заплатила. И получается, что мы платим налоги, А за эти налоги нам даже не считают нужным отчитаться.","Разочарование, обида, требовательность","Честность, справедливость, социальная защищенность, ответственность государства",Респондентка демонстрирует типичную для среднего класса установку на социальный контракт: честная работа и налоги должны обеспечивать гарантии и отчетность со стороны государства. Критика бюрократии и чиновничества отражает недовольство неэффективностью институтов.,декларация,1.0,"Государственная власть, налоговая система",,,,,,,,,,
2,"Зрелость, опыт межкультурного взаимодействия",Миграция и национальные традиции,"Респондентка рассуждает о миграционной политике, сравнивая российский опыт с опытом мусульманских стран. Она выражает недовольство мягкостью российских законов по отношению к мигрантам и обеспокоенность сохранением национальных традиций и безопасности.","Почему в те времена, когда и тогда почитались там Коран и прочее, то есть, ну это же идет все из веков, из древних. Почему тогда женщины могли носить шарфик на голове, а сейчас она обязательно истинная мусульманка должна завернуться во всем для их одежды.","Тревога, недоумение, обеспокоенность","Традиции, безопасность, национальная идентичность, порядок",Видна тревога по поводу изменений в этнокультурном составе общества и опасения по поводу роста радикализма. Респондентка апеллирует к историческим традициям и выражает недовольство недостаточной интеграцией мигрантов.,декларация,1.0,"Миграционная политика, местные органы власти",,,,,,,,,,
3,"Зрелость, гражданская активность",Безопасность и доверие к институтам,"Респондентка отмечает положительные изменения в городской среде (строительство детской площадки), но выражает обеспокоенность безопасностью и ростом влияния мигрантских общин. Она критикует государство за недостаточную защиту граждан и снижение доверия к полиции.","Почему парень, который сейчас выступил против двоих армян, которые кричали, мы будем резать русских, а почему сейчас он под судом находится, а не эти армяне? Почему армяне-то в стороне остались, понимаете?","Обида, тревога, разочарование","Справедливость, безопасность, защита граждан","Респондентка фиксирует снижение доверия к государственным институтам (полиция, суды) и рост самоорганизации (общины). Это отражает тенденцию к поиску альтернативных форм социальной защиты.",эпизод,1.0,"Полиция, суд, местное самоуправление, общины",,,,,,,,,,
4,"Зрелость, опыт публичных дискуссий",Обсуждение политических и социальных вопросов в кругу близких и онлайн,"Респондентка рассказывает о том, как обсуждает политические и миграционные вопросы с близкими и в интернете. Она сталкивалась с агрессией и обвинениями в ксенофобии, когда высказывала свою позицию по миграции, и была заблокирована на тематическом сайте.","Короче говоря, дошло до того, что меня на этом сайте заблокировали. Причем они не поледились, они сбегали посмотреть мою страничку лично, это было дело ВКонтакте. Они вылили на меня уши от грязи, что вот я сама, оказывается, езжу по этому цвету.","Огорчение, возмущение, усталость","Свобода слова, честность, открытость",Опыт публичных дискуссий в интернете иллюстрирует поляризацию общества и низкую толерантность к альтернативным мнениям. Респондентка сталкивается с травлей и самоцензурой.,эпизод,1.0,,,,"Участие в онлайн-дискуссиях, опыт блокировки",,,,,,,
5,"Зрелость, рефлексия о будущем страны","Патриотизм, СВО и место России в мире","Респондентка выражает безусловную поддержку СВО, видит в ней проявление национального героизма и преемственности с историческими подвигами. Она желает большей определенности и уверенности в действиях государства на международной арене.","Я поддерживаю это полностью, 150%, и никто меня с этого пути не свернет. ... Мы не свернем с этого пути, мы дойдем до конца, невзирая ни на какие санкции, ни на что. Но хотелось бы, чтобы этот путь все-таки как-то... Ну, люди знали, за что они идут вперед.","Гордость, патриотизм, тревога, желание определенности","Патриотизм, героизм, национальное единство, уверенность в будущем","Респондентка демонстрирует высокий уровень патриотической мобилизации и поддержку официальной повестки, но при этом испытывает потребность в ясности и смысле происходящего для простых граждан.",декларация,1.0,"Государство, армия, международные отношения",,,,,,,,,,
1,Зрелость (50-60 лет),Освоение цифровых технологий и интернета,"Респондентка рассказывает о своем длительном опыте использования интернета, начиная с первых мобильных телефонов с выходом в сеть, ноутбуков и социальных сетей. Она отмечает, что интернет стал неотъемлемой частью ее жизни, но использует его преимущественно для работы и получения информации.","Я пользуюсь интернетом лет 20, наверное. Потом вот у меня был свой ноутбук, вот это тогда уже был интернет. А потом вот я купила первый телефон свой, то есть это был уже интернет, как бы вот постоянный для себя там везде.","Уверенность, спокойствие","Открытость к новому, самостоятельность, практичность","Респондентка демонстрирует типичный для старшего поколения путь освоения цифровых технологий: постепенное вовлечение, переход от базовых устройств к более сложным, интеграция интернета в повседневную жизнь. При этом сохраняется критичность к некоторым аспектам соцсетей.",эпизод,,"интернет, мобильная связь, социальные сети",,,пользователь цифровых сервисов,,,,,,,
2,Зрелость (60 лет),Социальные сети и онлайн-коммуникация,"Респондентка описывает эволюцию своих предпочтений в социальных сетях: от 'Одноклассников' к 'ВКонтакте' и 'Телеграму'. Отмечает, что соцсети стали инструментом для общения с друзьями и коллегами, а также получения интересной информации.","ВКонтакте у меня свой хороший такой вот Телеграм у меня есть, тем более у нас был и рабочий чат в Телеграме.","Интерес, удовлетворение","Коммуникация, информационная открытость, профессионализм","Переход от 'Одноклассников' к более современным платформам отражает стремление к расширению круга общения и профессиональной интеграции. Соцсети становятся не только средством досуга, но и рабочим инструментом.",эпизод,,"социальные сети, рабочие чаты",,,активный пользователь соцсетей,,,,,,,
3,Зрелость,Отношение к интернету и цифровым привычкам,"Респондентка подчеркивает, что интернет для нее — это, прежде всего, инструмент для работы и решения бытовых задач, а не способ 'убить время'. Она старается использовать его рационально, чередуя с другими видами досуга.","Наверное, интернет для меня это либо рабочее состояние, либо это интернет, ну, что-то вот как-то перехватить по-быстрому, что-то вот надо посмотреть...","Рациональность, умеренность","Самодисциплина, эффективность, разнообразие досуга","В отличие от стереотипа о 'зависимости' от интернета, респондентка демонстрирует зрелое отношение к цифровым технологиям, интегрируя их в структуру повседневности без избыточного увлечения.",декларация,,,,,осознанный пользователь цифровых сервисов,,,,,,,
4,Зрелость,Любимые приложения и финансовая грамотность,"Респондентка выделяет среди любимых приложений мессенджеры, банковские сервисы и новостные ресурсы, особенно связанные с финансами. Она отмечает удобство безналичных расчетов и интерес к финансовым продуктам.","Очень удобные, конечно, банковские приложения. Вот, да, с карты на карту, в общем, очень-очень редко у меня вообще, в принципе, наличные деньги, потому что все карты в основном.","Удовлетворение, интерес","Удобство, финансовая грамотность, технологичность","Респондентка иллюстрирует высокий уровень цифровой и финансовой грамотности, характерный для активных пожилых пользователей. Привычка к безналичным расчетам и интерес к финансовым новинкам свидетельствуют о включенности в современный рынок услуг.",эпизод,,"банковские приложения, мессенджеры",,,активный пользователь финансовых сервисов,,,,,,,
5,Зрелость,Восприятие новых технологий и искусственного интеллекта,"Респондентка пока не имеет личного опыта взаимодействия с ИИ и нейросетями, воспринимает их как нечто из области научной фантастики, но следит за новостями и отмечает их развлекательный потенциал.","Я пока читаю, это все как бы из раздела научной фантастики. Сказать честно, я пока про это ничего не могу. Ничего не могу сказать, не знаю.","Скепсис, осторожный интерес","Осторожность, информированность","Отношение к ИИ типично для старшего поколения: интерес, но отсутствие практического опыта и некоторая дистанция. Восприятие новых технологий как 'фантастики' указывает на разрыв между инновациями и их реальным внедрением в жизнь пожилых.",декларация,,,,,пассивный наблюдатель,,,,,,,
6,Зрелость,Рефлексия о влиянии технологий на общество и коммуникацию,"Респондентка размышляет о том, как технологии изменили формы общения и досуга, приводя к обособлению людей и утрате традиционных форм совместного времяпрепровождения. Она с сожалением отмечает исчезновение живого общения, особенно среди детей.","Я считаю, что технологии вокруг человека создают какой-то кокон. Человеку не надо куда-то выходить... Мы как-то обосабливаемся.","Сожаление, тревога","Человеческое общение, традиции, близость","Респондентка фиксирует социокультурные изменения, связанные с цифровизацией: разрыв поколений, исчезновение коллективных практик, рост индивидуализма. Это типичная позиция для людей, выросших в эпоху 'живого' общения.",декларация,1.0,,,,,,,,,,,
7,Последний год (60 лет),Потеря работы и разрыв социальных связей,"В прошедшем году респондентка столкнулась с закрытием торговой точки, где работала, и неожиданным исчезновением коллеги, с которой сложились доверительные отношения. Это событие оставило эмоциональный след, несмотря на общее благополучие.","И вот когда нам объявили, что мы будем закрываться, И она вот внезапно просто пропала с радара... То есть она просто пропала из моей жизни.","Огорчение, недоумение","Дружба, стабильность, доверие","Потеря работы и разрыв социальных связей — типичные риски для людей предпенсионного и пенсионного возраста. Эмоциональная реакция респондентки указывает на важность не только материальной, но и социальной составляющей труда.",перелом,,место работы — торговая точка сыровара,,,наемный работник,,,,,,,
