id,life_stage,theme,summary,quote,emotion,values,sociological_note,type,institution,housing_promised,collapse_context,market_participation,religion,region,psychological_support,family_structure,social_guarantees,psychological_coping,career_mobility
4,"Зрелый возраст, семейная жизнь",Взаимодействие с налоговой и МФЦ,"Респондентка отмечает удобство современных сервисов налоговой и МФЦ, все вопросы решаются быстро и понятно, большинство операций — онлайн.","Очень удобно стало. Тебе надо записаться куда-то... Ты зашел, выкинул талончик, и тебя, грубо говоря, 5-10 минут, и максимум тебя позвали. Все, вопрос решался.","Удовлетворение, благодарность","Комфорт, технологичность, эффективность",Позитивный опыт взаимодействия с цифровыми сервисами формирует доверие к отдельным государственным институтам.,эпизод,"МФЦ, налоговая",,,False,,,,,,,
5,"Зрелый возраст, семейная жизнь",Жалобы в ЖКХ,"Респондентка сталкивалась с коммунальными проблемами, жалобы в ЖКХ были эффективны, вопрос решился.","Ну, мы в ЖКХ писали по коммунальному вопросу жалобы. Ну, как бы вопрос решили по техническому муссанималку.","Спокойствие, удовлетворение","Практичность, ответственность",Опыт успешного решения бытовых вопросов через обращения в ЖКХ повышает уверенность в отдельных механизмах обратной связи.,эпизод,ЖКХ,,,False,,,,,,,
6,"Зрелый возраст, семейная жизнь",Государственная поддержка семей и детей,"Респондентка отмечает рост числа государственных услуг и мер поддержки семей, но сама пользуется ими ограниченно.","Государство, мне кажется, стало больше помогать населению в плане поддержки детей, материнства, допустим. С первым ребенком у меня не было маткапитала.","Благодарность, умеренный оптимизм","Забота о семье, поддержка детей","Респондентка замечает позитивные изменения в социальной политике, но дистанцируется от активного использования льгот.",декларация,"Соцзащита, материнский капитал",,,False,,,,,,,
7,"Зрелый возраст, забота о будущем",Пенсионная система и отношение к пенсионной реформе,"Респондентка считает, что пенсионная система несправедлива, выступает против повышения пенсионного возраста и считает необходимым самостоятельно заботиться о будущем.","Я бы поддержала пенсионеров и вернула бы предыдущий пенсионный возраст. Потому что продолжительность жизни у нас не увеличилась, к сожалению.","Огорчение, тревога, реализм","Справедливость, самостоятельность, забота о будущем","Критика пенсионной реформы и недоверие к государственным гарантиям пенсии характерны для поколения, столкнувшегося с изменениями в социальной политике.",декларация,"Пенсионный фонд, государство",,,True,,,,,,,
8,"Зрелый возраст, активная гражданская позиция",Доверие к государственным органам,"Доверие к государственным органам у респондентки критически меняется, она отмечает как улучшения, так и недостатки.","Наверное, оно критически меняется. Потому что я думаю, что все равно критиковать можно все, потому что везде можно найти минусы, плюсы, где-то лучше, где-то хуже.","Скепсис, умеренный оптимизм","Критичность, объективность","Доверие к государству носит ситуативный характер, зависит от личного опыта и наблюдаемых изменений.",декларация,Государственные органы,,,False,,,,,,,
9,"Зрелый возраст, гражданская рефлексия",Отношение к власти и политической системе,"Респондентка лояльно относится к президенту, желает стабильности и мира, но критикует коррупцию и социальное неравенство.","Хотелось бы более что-то стабильное. Во-первых, хотелось бы не критики, а просто элементарного человеческого участия. Это мира. И все закончилось. Был мир в стране.","Надежда, тревога, критика","Стабильность, мир, честность",Лояльность к высшей власти сочетается с критикой коррупции и социальной несправедливости на региональном уровне.,декларация,"Президент, федеральная и региональная власть",,,False,,,,,,,
10,"Зрелый возраст, гражданская рефлексия",Коррупция и социальное неравенство,"Респондентка отмечает высокий уровень коррупции, считает, что многие услуги можно купить, и это вызывает у нее неприятие.","Я против коррупции, но, к сожалению, анализируя вообще все, что происходит сейчас в регионах, это сплошная коррупция. Я не знаю, мне кажется, чем больше мы с ней боремся, тем больше она процветает.","Раздражение, бессилие","Честность, справедливость",Критика коррупции и неравенства отражает разочарование в институтах и ощущение невозможности влиять на ситуацию.,декларация,"Региональная власть, полиция, образование, медицина",,,True,,,,,,,
11,"Зрелый возраст, гражданская рефлексия",Восприятие федеральной власти и законов,"Респондентка считает, что решения федеральной власти часто остаются на бумаге и не всегда реализуются на практике, а обычные граждане мало на что влияют.","Я считаю, что вопросы решаются, но на уровне, грубо говоря, на бумаге. В реальной жизни то, что уже соприкасаешься конкретно ты чем-то, оно немножко отличается.","Скепсис, отстраненность","Реализм, критичность",Дистанция между официальной риторикой и реальным опытом усиливает ощущение отчуждения от власти.,декларация,Федеральная власть,,,False,,,,,,,
12,"Зрелый возраст, гражданская рефлексия",Возможности трудоустройства и социальная мобильность,"Респондентка считает, что сейчас найти работу несложно, если есть желание, и отмечает улучшения в инфраструктуре и социальной сфере.","Если человек хочет работать, он найдет работу. Да, вопрос, какую там по оплате, это другие вопросы.",Умеренный оптимизм,"Трудолюбие, самостоятельность",Восприятие рынка труда как открытого для инициативных людей отражает индивидуалистские установки.,декларация,"Рынок труда, местная инфраструктура",,,True,,,,,,,
13,"Зрелый возраст, гражданская рефлексия",Информационное потребление и обсуждение политики,"Респондентка не считает себя политически подкованной, получает информацию из телеграм-каналов и обсуждает общественные темы только с мужем и друзьями.","Я только, грубо говоря, информацию доносит мне либо муж, но опять-таки он ее трактует, может, свое. Либо я телевизор почти не смотрю. То есть я читаю телеграм-каналы, которые мне нравятся.","Нейтральность, дистанция","Открытость к информации, доверие к близким",Преобладание неформальных каналов информации и ограниченность политических дискуссий свидетельствуют о низкой политической вовлеченности.,декларация,"Медиа, телеграм-каналы",,,False,,,,,,,
14,"Зрелый возраст, гражданская рефлексия",Возможность граждан влиять на ситуацию,"Респондентка не верит, что граждане могут повлиять на происходящее в стране.","Нет, нет, ничего нет.","Бессилие, разочарование","Реализм, скепсис",Ощущение отсутствия гражданского влияния на власть типично для деполитизированных слоев общества.,декларация,Гражданское общество,,,False,,,,,,,
1,"Настоящее, зрелый возраст",Влияние СВО и близость к Украине,"Респондент живет рядом с Украиной, что делает военные события особенно ощутимыми. Семья и знакомые пострадали от обстрелов, есть тревога за безопасность, но также благодарность армии за защиту. Испытывает желание скорейшего окончания конфликта и перемирия.","У людей родители пострадали от последнего прилета... спасибо нашей армии, что они хотя бы нас вот так, спилотники эти, защищают.","Тревога, благодарность, усталость","Безопасность, мир, поддержка близких, благодарность защитникам","Жизнь на приграничной территории формирует особую чувствительность к военным событиям, усиливает тревожность и коллективную солидарность. Присутствует патерналистское ожидание защиты от государства.",эпизод,"Армия, государство",False,,False,,,,,,,
2,"Настоящее, зрелый возраст",Гражданская позиция и отношение к политике,"Респондент рассуждает о невозможности влиять на глобальные политические процессы, отмечает, что перемены неизбежны, но воспринимает их спокойно. Считает, что обычный человек может влиять только на локальные вещи.","Обычный среднестатистический человек, вообще живущий в городе, ну, ни на какую... Ситуацию глобальную повлиять не может. Он может повлиять только на... Как я всегда говорила, ты можешь не бросить бумажку, ты можешь и загрязнять планету, ты можешь помочь животным.","Смирение, философское принятие","Локальная ответственность, экологичность, помощь животным",Демонстрируется типичная для российского среднего класса позиция дистанцирования от большой политики и ориентация на личную ответственность в повседневности.,декларация,,,,,,,,,,,
3,Настоящее,Отношение к оппозиции и политической конкуренции,"Респондент не видит реальной оппозиции в стране, отмечает отсутствие конкурентных партий.",Я таких не знаю. У нас больше нет конкурентных.,"Безразличие, легкая ирония","Стабильность, реализм","Отражает восприятие политической системы как закрытой и неконкурентной, что характерно для многих жителей регионов.",декларация,Политические партии,,,,,,,,,,
4,Настоящее,Медиа-потребление и доверие к информации,"Респондент скептически относится к телевидению и газетам, предпочитает получать информацию из интернета и телеграм-каналов, но не доверяет полностью ни одному источнику.","Телевидение, мне кажется, немножко доносит правду, неправду. Мне трудно оценить эту грань.","Скепсис, осторожность","Критическое мышление, самостоятельность","Показательна тенденция ухода от традиционных СМИ к цифровым каналам, но с сохранением недоверия к любой информации.",декларация,Медиа,,,,,,,,,,
5,Настоящее,Патриотизм и отношение к России,"Респондент гордится страной, не планирует эмиграцию, считает Россию страной с большими ресурсами и потенциалом, но отмечает, что стране нужно вкладываться в развитие детей и спортсменов.","Я, допустим, живу в России. Если была бы возможность, я бы, наверное, не уехала бы из России. Я бы здесь жила. И в случае чего, если что, я за Россию.","Гордость, уверенность","Патриотизм, развитие, вклад в будущее","Позиция характерна для лояльной части населения, ориентированной на внутреннее развитие и коллективные достижения.",декларация,Государство,,,,,,,,,,
6,Настоящее,"Экономика, миграция и социальные программы","Респондент считает, что для развития страны нужно закончить конфликт и вкладывать средства в экономику, отмечает программы поддержки медиков и ипотеку, а также желание многих знакомых уехать.","Пока мы не уладим этот конфликт, идут огромные средства из бюджета. Поэтому нам нужно уладить этот конфликт и потом развивать.","Рациональность, тревога","Экономическая стабильность, развитие, поддержка специалистов",Отражает распространенное мнение о необходимости завершения военных действий для экономического роста и сохранения человеческого капитала.,декларация,Государственные программы,,,True,,,,,,,
7,Настоящее,Оценка законов и инициатив,"Респондент положительно оценивает инициативы по обновлению водительских прав и возможности переобучения после сокращений, считает такие меры правильными.",Я вот за эти вот правильные подходы вот постоянно надо людям надо освежать память и вот те же ПДД...,"Одобрение, рациональность","Безопасность, обучение, адаптация","Позитивное отношение к государственным инициативам, направленным на повышение безопасности и профессиональной мобильности.",декларация,"Государство, РЖД",,,,,,,,,,
8,Настоящее,Участие в выборах и цифровизация,"Респондент участвует в выборах, но теперь делает это через госуслуги из-за нехватки времени, отмечает удобство цифровых сервисов.",Я это делаю на госуслугах. Это очень удобно.,"Удовлетворение, прагматизм","Гражданская ответственность, технологичность",Рост цифровизации государственных услуг способствует сохранению формального участия в политике при снижении вовлеченности.,декларация,Госуслуги,,,,,,,,,,
9,Настоящее,Отношение к государственным монополиям,"Респондент работает в сфере РЖД, считает государственные монополии эффективными, но отмечает необходимость новаторства и принятия изменений.","Если анализировать со своей рабочей точки, то я считаю, что да.","Прагматизм, умеренный оптимизм","Профессионализм, эффективность, адаптация","Позиция работника крупной госструктуры, лояльность к монополии сочетается с пониманием необходимости перемен.",декларация,"РЖД, государственные монополии",,,,,,,,,,
10,Настоящее,Социальная политика и справедливость,"Респондент отмечает наличие социальных программ, но считает, что есть недоработки. В целом оценивает политику как положительную, но не идеальную.","Есть недоработки, но не без этого.","Умеренный оптимизм, критичность","Справедливость, поддержка семей","Критическое, но не радикальное отношение к социальной политике, типичное для среднего класса.",декларация,Государство,,,,,,,,,,
11,Настоящее,Коррупция и бюрократия,"Респондент сталкивалась с коррупцией в медицине и сфере недвижимости, отмечает, что бороться с этим сложно.",Столкнулась с коррупцией в медицине неоднократно.,"Разочарование, усталость","Честность, справедливость","Личный опыт коррупции формирует недоверие к институтам, но не приводит к протестным настроениям.",эпизод,"Медицина, недвижимость",,,,,,,,,,
12,Настоящее,Личное восприятие СВО,"СВО сильно затронула респондента: близость к зоне конфликта, гибель знакомых, тревога за будущее, осознание долгосрочных последствий для общества и семей.","СВО очень сильно меня затронуло, потому что это наша ближайшая территория. Мама с Таганрога, я сама с Таганрога. Это все рядом.","Боль, тревога, сочувствие","Семья, безопасность, поддержка","Личный опыт войны усиливает эмпатию и тревожность, формирует запрос на психологическую поддержку и реабилитацию.",узел,"Семья, армия",,,,,,,,,,
13,Настоящее,Использование цифровых технологий и соцсетей,"Респондент уверенный пользователь компьютера и смартфона, использует интернет и приложения преимущественно для работы и бытовых нужд, соцсети — минимально, времени на них нет.","Компьютер, как бы я хорошо с ними дружу... программы, ну, в основном, как бы, это такие либо рабочие, либо экстеллерские, такие, которые мне необходимы для работы.","Прагматизм, спокойствие","Эффективность, рациональность","Преобладает утилитарное отношение к технологиям, характерное для занятых взрослых.",декларация,,,,,,,,,,,
14,Настоящее,Влияние соцсетей на общение,"Респондент отмечает, что соцсети изменили стиль общения: люди меньше встречаются лично, даже с соседями и родственниками предпочитают онлайн-контакт.","Бывают люди на уровне соседнего дома, им лень идти, они вот посидели, поговорили. Такое есть родственники. Это не есть хорошо, но просто вот такое существует.","Сдержанная критика, сожаление","Живое общение, семейные связи",Отражает распространенное опасение по поводу отчуждения и разрыва социальных связей из-за цифровизации.,декларация,,,,,,,,,,,
15,Настоящее,Потребление онлайн-сервисов и подписок,"Семья активно использует платные подписки (Яндекс Плюс, Сбер Прайм), онлайн-магазины, предпочитает тактильный выбор техники, но покупки часто совершаются онлайн.","Очень удобно, всем пользуемся, всей семьей.",Удовлетворение,"Комфорт, технологичность, семейность",Рост цифрового потребления и интеграция онлайн-сервисов в повседневную жизнь.,эпизод,,,,True,,,,,,,
16,Настоящее,Отношение к искусственному интеллекту,"Респондент положительно относится к ИИ, использует голосовых помощников и переводчики, планирует пройти курсы по ИИ для применения в работе.","Я считаю, что это... Я думаю, что это лучше для нашей жизни. Все плюсы.","Интерес, оптимизм","Обучение, инновации","Позитивное восприятие ИИ как инструмента повышения эффективности, желание профессионального развития.",декларация,,,,,,,,,,,
17,Настоящее,Проблема цифровой зависимости у детей,"Дочь респондента зависима от телефона, были попытки ограничить доступ, но эффективного решения не найдено.",Она у меня зависима и от этих всех телефонов.,"Беспокойство, бессилие","Здоровье детей, контроль, воспитание",Проблема цифровой зависимости детей становится предметом семейных конфликтов и поиска баланса между контролем и самостоятельностью.,узел,Семья,,,,,,,,,,
18,Последний год,Изменения в жизни за год,"В семье не было глобальных изменений, год прошел спокойно, но сохраняется тревога из-за близости к зоне конфликта. В профессиональной сфере — повышение разряда, в семье — стабильность и благополучие.","Год прошел, 24-й, более-менее спокойно. Не считая, как территорию близко, затрагиваются вопросы безопасности.","Спокойствие, осторожный оптимизм","Стабильность, безопасность, профессиональное развитие",Даже в условиях внешней нестабильности люди ценят внутреннюю стабильность и небольшие успехи.,эпизод,"Работа, семья",,,,,,,,,,
1,"Зрелость, средний возраст",Оптимизм и вера в лучшее будущее,"Респондентка выражает надежду на лучшее будущее для себя, своей семьи и страны, подчеркивает важность мира, счастья и здоровья для всех.","Ну, я всегда смотрю с оптимизмом, потому что хочется верить в лучшее, что будет всё хорошо, что в стране, что у нас дома все будут счастливы, здоровы, и вокруг будет мир.","Оптимизм, надежда","Семья, здоровье, мир, стабильность","Оптимистичный взгляд на жизнь и коллективистские ценности характерны для зрелого поколения, пережившего социальные перемены и ищущего стабильности.",декларация,,,,,,,,,,,
2,"Настоящее, зрелость",Планирование будущего и улучшение жилищных условий,"Респондентка строит планы на будущее, связанные с детьми и улучшением условий проживания, но воспринимает их как желания, а не как четкие цели.","Да, строим, потому что это касается жизни детей, улучшения условий проживания, замена дома. Да, строим планы, по-другому не так, на 5-10 лет, да. Но это все такие, ну, как бы, хотелочки такие, вот.","Умеренный оптимизм, реализм","Семья, забота о детях, улучшение качества жизни",Планирование связано с заботой о детях и жилищном вопросе — типичная стратегия для семей среднего класса в России.,эпизод,,True,,,,,,,,,
3,Настоящее,Влияние внутреннего состояния на жизнь,"Респондентка считает, что многое зависит от внутреннего настроя, умения поддерживать себя и создавать вокруг себя позитивную атмосферу.","от своего внутреннего состояния, от взгляда, от того, как ты встал утром, в хорошем состоянии, ничего у тебя не болит, руки, ноги ходят, все, ты готов, полон сил, ты сам себя подбадриваешь...","Саморефлексия, бодрость","Позитив, самоподдержка, ответственность за атмосферу вокруг","Важность внутреннего ресурса и личной ответственности за качество жизни — черта, свойственная индивидуалистским стратегиям выживания в условиях нестабильности.",декларация,,,,,,,,,,,
4,Настоящее,Смысл жизни и приоритеты,"Для респондентки важны здоровье, забота о себе и близких, удовольствие от работы и мелкие добрые поступки. Она считает, что смысл жизни — в достойном проживании и заботе о других.","В первую очередь это меня научили так... работе проходили мы, в первую очередь, ты должна думать о себе. Если ты не подумаешь о себе, то как ты можешь позаботиться о своих близких...","Умиротворение, благодарность","Здоровье, забота о себе и близких, достоинство, труд","Сочетание индивидуалистских и коллективистских ценностей: забота о себе как условие заботы о других, ценность труда и признания.",декларация,,,,,,,,,,,
5,Рефлексия зрелого возраста,Переосмысление прошлого и сожаления,"Респондентка не жалеет о прошлом, но иногда думает о том, что могла бы больше времени проводить с родными, особенно с отцом, и больше общаться в студенческие годы.","Может быть, хочется больше проводить время с родными, которых нет. Вот иногда вот об этом я думаю... Мне кажется, мне надо было все в тепле с папой общаться. Не додала ему. Скучаю очень сильно.","Светлая грусть, ностальгия","Семейные связи, общение, воспоминания","Рефлексия о прошлом и сожаления по поводу утраченных возможностей типичны для зрелого возраста, когда переосмысливаются жизненные приоритеты.",узел,,,,,,,,,,,
6,Настоящее,Страхи и тревоги,"Основные страхи респондентки связаны с благополучием детей, мамы, мужа и мира в целом. Глобальных страхов нет, но есть тревога за близких.","Ну, конечно, есть страхи за детей, за будущее, за маму, как бы. Но таких прям глобальных страхов, допустим, я не боюсь там остаться одна...","Тревога, забота","Семья, безопасность, мир",Страхи за близких и будущее отражают коллективистские установки и социальную неуверенность.,декларация,,,,,,,,,,,
7,"Потеря близкого, зрелость",Восприятие смерти и утраты,"Респондентка редко думает о смерти, кроме момента утраты отца. Считает, что важнее качество жизни и то, что человек вносит в этот мир.","Думала, когда вот папу потеряла, ну вот. А так, в обычной жизни, ну, Но она неизбежна, как бы. То есть у каждого человека, я считаю, свой жизненный путь.","Принятие, философское отношение","Качество жизни, принятие неизбежного","Философское отношение к смерти и акцент на качестве жизни характерны для зрелого возраста и людей, переживших утраты.",эпизод,,,,,,,,,,,
8,"Настоящее, рефлексия",Самоанализ и принятие себя,"Респондентка анализирует себя, признает наличие слабостей (лень, выгорание), но принимает их как часть жизни.","Все мы не идеальны, да, есть... Такие моменты, где-то присутствует и лень, и эмоциональное выгорание, и где-то вообще хочется все бросить. Ну, всякое бывает.","Принятие, спокойствие","Честность с собой, саморефлексия","Самоанализ и принятие своих слабостей — черта зрелой личности, способной к рефлексии.",декларация,,,,,,,,,,,
9,Настоящее,Отношение к политике и законам,"Респондентка не чувствует себя политически подкованной, но после интервью задумалась о необходимости узнать больше. Критически относится к закону о банкротстве физических лиц и к системе ЖКХ.","Я не особо политически подкована, поэтому как бы, ну не то, что они меня застали врасплох, но как бы, наверное, у меня теперь я задумалась, что, наверное, надо как-то что-то узнать еще нового.","Легкая неуверенность, критичность","Справедливость, законопослушание, желание разобраться","Недоверие к институтам и критика бюрократии, типичная для российского общества, сочетается с законопослушанием и желанием разобраться в происходящем.",декларация,"ЖКХ, законодательство о банкротстве",,,,,,,,,,
10,"Настоящее, завершение интервью",Ощущения от интервью и итоговая рефлексия,"Респондентка воспринимает интервью как разговор по душам, сравнивает его с беседой с психологом или старым другом, подчеркивает важность самоанализа.","Как разговор по душам, ну вот встреча с психологом, и вот первая встреча, да, чтобы понять человеку, ну вообще же, вот или как разговор сам с собой, ну чего, вот 45 лет, что ж ты, что ж ты в этой жизни-то сделала хорошего...","Умиротворение, легкая усталость","Самоанализ, честность, открытость",Интервью становится для респондента инструментом саморефлексии и переосмысления жизненного пути.,эпизод,,,,,,,,,,,
1,Раннее детство,Семейное окружение и атмосфера детства,"Респондентка родилась в Таганроге, жила в большом доме с родителями и бабушкой. Воспоминания о детстве наполнены теплом, семейными ритуалами, совместными чаепитиями, заботой о животных и огороде. Семья была трудовой, родители — железнодорожники, дед погиб на войне, его память чтили. В детстве была одна в семье, но окружена двоюродными братьями и племянниками.","Мы жили в большом доме. Бабушка, мама и папа. Я в семье одна. ... Очень мы его чтим, помним, как всегда. В Дни Победы часто вспоминают, альбом как бы есть.","Тепло, ностальгия, благодарность","Семья, традиции, труд, память о предках, помощь близким","Типичная для советского и постсоветского юга России семейная структура с сильными межпоколенческими связями, акцент на коллективных ритуалах и поддержке. Воспоминания о детстве окрашены идеализацией семейных традиций и трудовой этики.",эпизод,"семья, дом, железнодорожная династия",свой дом в Таганроге,1.0,,,,,,,,
2,Дошкольный и младший школьный возраст,Опыты социализации и первые трудности,"Детство респондентки было беззаботным, но в школе столкнулась с несправедливостью и разделением учеников на 'любимчиков' и остальных. Испытывала желание иметь братьев и сестер, но была единственным ребенком. Воспоминания о детстве связаны с самостоятельностью, необходимостью помогать родителям и бабушке.","Было время. Бабушка тоже работала, потом пошла на пенсию. ... В 80-е годы предоставлены, так сказать, сами себе, потому что было время.","Легкая грусть, ностальгия, чувство несправедливости","Самостоятельность, справедливость, желание принадлежать","Опыт социализации в советской школе с ее иерархиями и авторитаризмом. Отражается дефицит внимания взрослых из-за занятости, что типично для семей того времени.",эпизод,"школа, семья",,1.0,,,,,,,,
3,Школьные годы (средняя и старшая школа),"Учеба, внешкольная активность и профессиональный выбор","В школе занималась спортом и танцами, участвовала в ансамбле. Семья была со средним доходом, иногда испытывали материальные трудности. После школы поступила в колледж по совету родителей, ориентируясь на стабильную профессию бухгалтера, но вскоре поняла, что это не ее путь.","Потом, уже когда в старших классах была такая проблема у учителя... Я занималась спортом и у нас были и танцы, у нас был хореографический ансамбль 'Солнышки'... В то время считали деньги, и мама говорила, что это будет тебе дополнительным доходом, это всегда финансы.","Сдержанная благодарность, легкая неуверенность, поиск себя","Стабильность, трудолюбие, послушание родителям, самореализация","Поколенческий разрыв в выборе профессии: родители ориентируют на 'надежные' специальности, а профориентация в школе отсутствует. Внешкольная активность — важный канал социализации.",узел,"школа, колледж",,1.0,семья со средним доходом,,,,,,,
4,Переход к взрослой жизни (студенчество),Поиск профессионального пути и самостоятельности,"После неудачного опыта в колледже по специальности бухгалтерия, респондентка переводится в университет путей сообщения, где получает специальность, связанную с перевозками. Живет в общежитии, учится самостоятельности, участвует в общественной жизни института, занимается спортом и поет в хоре. В этот период формируется профессиональная идентичность.","Мне предложили, был просто перевод на другой факультет Ростовского государственного университета путей сообщения... Мне дали общежитие. Я жила с девчонками, три девчонки были в комнате...","Благодарность, легкое волнение, взросление","Самостоятельность, образование, дружба, ответственность","Переход к самостоятельной жизни через студенческое общежитие и участие в коллективных институтах. Случайный выбор профессии — типичная черта для молодежи 90-х, когда профориентация была слабо развита.",узел,"университет, общежитие",общежитие для иногородних,1.0,,,,,,,,
